rollcall,voter_id,name,party,coalition,vote
3515,4867,VAVÁ,PT,1,-1
3515,4869,TONINHO VESPOLI,PSOL,0,-1
3515,4820,TONINHO PAIVA,PR,0,-1
3515,4831,SENIVAL MOURA,PT,1,-1
3515,4819,SANDRA TADEU,DEM,0,-1
3515,4866,RICARDO YOUNG,PPS,0,1
3515,4865,RICARDO NUNES,PMDB,1,-1
3515,4864,REIS,PT,1,-1
3515,4815,PAULO FRANGE,PTB,1,-1
3515,4863,PAULO FIORILO,PT,1,-1
3515,4862,PATRÍCIA BEZERRA,PSDB,0,1
3515,4861,OTA,PROS,0,-1
3515,4860,ORLANDO SILVA,PCdoB,1,-1
3515,4814,NOEMI NONATO,PROS,0,-1
3515,4859,NELO RODOLFO,PMDB,1,-1
3515,4812,NATALINI,PV,0,1
3515,4858,NABIL BONDUKI,PT,1,-1
3515,4834,MARTA COSTA,PSD,0,-1
3515,4857,MARQUITO,PTB,1,-1
3515,4856,MÁRIO COVAS NETO,PSDB,0,1
3515,4810,MARCO AURELIO CUNHA,PSD,0,1
3515,4855,LAÉRCIO BENKO,PHS,0,-1
3515,4838,JULIANA CARDOSO,PT,1,-1
3515,4808,JOSÉ POLICE NETO,PSD,0,-1
3515,4837,JOSE AMERICO,PT,1,-1
3515,4854,JEAN MADEIRA,PRB,0,-1
3515,4806,GOULART,PSD,0,-1
3515,4836,GILSON BARRETO,PSDB,0,1
3515,4852,GEORGE HATO,PMDB,1,-1
3515,4851,EDUARDO TUMA,PSDB,0,1
3515,4804,EDIR SALES,PSD,0,-1
3515,4850,PR. EDEMILSON CHAVES,PP,1,-1
3515,4801,DALTON SILVANO,PV,0,-1
3515,4849,CORONEL TELHADA,PSDB,0,1
3515,4847,CONTE LOPES,PTB,1,-1
3515,4798,CLAUDINHO DE SOUZA,PSDB,0,1
3515,4846,CALVO,PMDB,1,-1
3515,4825,AURELIO NOMURA,PSDB,0,1
3515,4824,AURÉLIO MIGUEL,PR,0,-1
3515,4794,ATILIO FRANCISCO,PRB,0,-1
3515,4843,ARSELINO TATTO,PT,1,-1
3515,4845,ARI FRIEDENBACH,PROS,0,-1
3515,4868,ANDREA MATARAZZO,PSDB,0,1
3515,4792,ALFREDINHO,PT,1,-1
