rollcall,voter_id,name,party,coalition,vote
1763,80,VAVÁ,PT,1,1
1763,84,VALDECIR CABRABOM,PTB,1,1
1763,82,TONINHO VESPOLI,PSOL,0,1
1763,44,SENIVAL MOURA,PT,1,1
1763,32,SANDRA TADEU,DEM,0,1
1763,78,RICARDO NUNES,PMDB,1,1
1763,77,REIS,PT,1,1
1763,28,PAULO FRANGE,PTB,1,1
1763,76,PAULO FIORILO,PT,1,1
1763,74,OTA,PROS,0,1
1763,27,NOEMI NONATO,PROS,0,1
1763,26,NETINHO DE PAULA,PDT,0,1
1763,72,NELO RODOLFO,PMDB,1,1
1763,25,NATALINI,PV,0,1
1763,47,MARTA COSTA,PSD,0,1
1763,70,MARQUITO,PTB,1,1
1763,69,MÁRIO COVAS NETO,PSDB,0,-1
1763,23,MARCO AURELIO CUNHA,PSD,0,1
1763,68,LAÉRCIO BENKO,PHS,0,1
1763,51,JULIANA CARDOSO,PT,1,1
1763,21,JOSÉ POLICE NETO,PSD,0,1
1763,50,JOSE AMERICO,PT,1,1
1763,66,JAIR TATTO,PT,1,1
1763,49,GILSON BARRETO,PSDB,0,0
1763,46,ELISEU GABRIEL,PSB,1,1
1763,17,EDIR SALES,PSD,0,1
1763,15,DAVID SOARES,PSD,0,1
1763,14,DALTON SILVANO,PV,0,1
1763,61,CORONEL CAMILO,PSD,0,1
1763,60,CONTE LOPES,PTB,1,1
1763,11,CLAUDINHO DE SOUZA,PSDB,0,-1
1763,38,AURELIO NOMURA,PSDB,0,-1
1763,37,AURÉLIO MIGUEL,PR,0,1
1763,56,ARSELINO TATTO,PT,1,1
1763,58,ARI FRIEDENBACH,PROS,0,1
1763,16,ANTONIO DONATO,PT,1,1
1763,6,ANIBAL DE FREITAS FILHO,PSDB,0,1
1763,81,ANDREA MATARAZZO,PSDB,0,-1
1763,5,ALFREDINHO,PT,1,1
1763,3,ADILSON AMADEU,PTB,1,1
1763,1,ABOU ANNI,PV,0,1
1761,35,WADIH MUTRAN,PP,1,0
1761,80,VAVÁ,PT,1,1
1761,82,TONINHO VESPOLI,PSOL,0,-1
1761,44,SENIVAL MOURA,PT,1,1
1761,32,SANDRA TADEU,DEM,0,-1
1761,78,RICARDO NUNES,PMDB,1,1
1761,77,REIS,PT,1,1
1761,63,PR. EDEMILSON CHAVES,PP,1,1
1761,28,PAULO FRANGE,PTB,1,1
1761,76,PAULO FIORILO,PT,1,1
1761,74,OTA,PROS,0,1
1761,27,NOEMI NONATO,PROS,0,1
1761,26,NETINHO DE PAULA,PDT,0,1
1761,72,NELO RODOLFO,PMDB,1,1
1761,25,NATALINI,PV,0,1
1761,47,MARTA COSTA,PSD,0,0
1761,70,MARQUITO,PTB,1,-1
1761,69,MÁRIO COVAS NETO,PSDB,0,1
1761,68,LAÉRCIO BENKO,PHS,0,1
1761,66,JAIR TATTO,PT,1,1
1761,46,ELISEU GABRIEL,PSB,1,-1
1761,17,EDIR SALES,PSD,0,1
1761,15,DAVID SOARES,PSD,0,-1
1761,14,DALTON SILVANO,PV,0,0
1761,61,CORONEL CAMILO,PSD,0,1
1761,60,CONTE LOPES,PTB,1,-1
1761,11,CLAUDINHO DE SOUZA,PSDB,0,1
1761,38,AURELIO NOMURA,PSDB,0,1
1761,37,AURÉLIO MIGUEL,PR,0,1
1761,56,ARSELINO TATTO,PT,1,1
1761,58,ARI FRIEDENBACH,PROS,0,1
1761,16,ANTONIO DONATO,PT,1,1
1761,6,ANIBAL DE FREITAS FILHO,PSDB,0,1
1761,81,ANDREA MATARAZZO,PSDB,0,1
1761,5,ALFREDINHO,PT,1,1
1761,48,ADOLFO QUINTAS,PSDB,0,1
1761,3,ADILSON AMADEU,PTB,1,-1
1761,1,ABOU ANNI,PV,0,0
1765,80,VAVÁ,PT,1,-1
1765,84,VALDECIR CABRABOM,PTB,1,-1
1765,82,TONINHO VESPOLI,PSOL,0,-1
1765,44,SENIVAL MOURA,PT,1,-1
1765,77,REIS,PT,1,-1
1765,63,PR. EDEMILSON CHAVES,PP,1,-1
1765,28,PAULO FRANGE,PTB,1,-1
1765,76,PAULO FIORILO,PT,1,-1
1765,74,OTA,PROS,0,-1
1765,27,NOEMI NONATO,PROS,0,-1
1765,26,NETINHO DE PAULA,PDT,0,-1
1765,72,NELO RODOLFO,PMDB,1,-1
1765,25,NATALINI,PV,0,1
1765,47,MARTA COSTA,PSD,0,1
1765,70,MARQUITO,PTB,1,-1
1765,69,MÁRIO COVAS NETO,PSDB,0,1
1765,68,LAÉRCIO BENKO,PHS,0,-1
1765,51,JULIANA CARDOSO,PT,1,-1
1765,21,JOSÉ POLICE NETO,PSD,0,1
1765,50,JOSE AMERICO,PT,1,-1
1765,66,JAIR TATTO,PT,1,-1
1765,49,GILSON BARRETO,PSDB,0,1
1765,46,ELISEU GABRIEL,PSB,1,-1
1765,15,DAVID SOARES,PSD,0,0
1765,14,DALTON SILVANO,PV,0,-1
1765,61,CORONEL CAMILO,PSD,0,1
1765,60,CONTE LOPES,PTB,1,-1
1765,11,CLAUDINHO DE SOUZA,PSDB,0,1
1765,38,AURELIO NOMURA,PSDB,0,1
1765,37,AURÉLIO MIGUEL,PR,0,-1
1765,56,ARSELINO TATTO,PT,1,-1
1765,58,ARI FRIEDENBACH,PROS,0,-1
1765,16,ANTONIO DONATO,PT,1,-1
1765,6,ANIBAL DE FREITAS FILHO,PSDB,0,1
1765,81,ANDREA MATARAZZO,PSDB,0,1
1765,5,ALFREDINHO,PT,1,-1
1765,48,ADOLFO QUINTAS,PSDB,0,1
1765,1,ABOU ANNI,PV,0,1
1762,35,WADIH MUTRAN,PP,1,-1
1762,80,VAVÁ,PT,1,1
1762,82,TONINHO VESPOLI,PSOL,0,-1
1762,44,SENIVAL MOURA,PT,1,1
1762,32,SANDRA TADEU,DEM,0,-1
1762,78,RICARDO NUNES,PMDB,1,1
1762,77,REIS,PT,1,1
1762,63,PR. EDEMILSON CHAVES,PP,1,1
1762,28,PAULO FRANGE,PTB,1,1
1762,76,PAULO FIORILO,PT,1,1
1762,74,OTA,PROS,0,1
1762,27,NOEMI NONATO,PROS,0,1
1762,26,NETINHO DE PAULA,PDT,0,1
1762,72,NELO RODOLFO,PMDB,1,1
1762,25,NATALINI,PV,0,1
1762,47,MARTA COSTA,PSD,0,-1
1762,69,MÁRIO COVAS NETO,PSDB,0,1
1762,23,MARCO AURELIO CUNHA,PSD,0,1
1762,68,LAÉRCIO BENKO,PHS,0,1
1762,51,JULIANA CARDOSO,PT,1,1
