rollcall,voter_id,name,party,coalition,vote
4795,331,Ana Amélia,PP,1,-1
4795,241,Wellington Dias,PT,1,1
4795,179,Acir Gurgacz,PDT,0,1
4795,238,Paulo Davim,PV,0,1
4795,237,Eduardo Braga,PMDB,1,1
4795,236,Jorge Viana,PT,1,0
4795,235,Randolfe Rodrigues,PSOL,0,1
4795,234,Pedro Taques,PDT,0,1
4795,233,Humberto Costa,PT,1,1
4795,329,Gleisi Hoffmann,PT,1,1
4795,232,Ivo Cassol,PP,1,1
4795,231,Luiz Henrique,PMDB,1,1
4795,230,Marta Suplicy,PT,1,1
4795,354,Marinor Brito,PSOL,0,1
4795,353,Clésio Andrade,PR,0,0
4795,226,Garibaldi Alves,PMDB,1,1
4795,167,Lobão Filho,PMDB,1,0
4795,223,Cyro Miranda,PSDB,0,-1
4795,222,Ana Rita,PT,1,1
4795,221,Anibal Diniz,PT,1,1
4795,220,Eduardo Amorim,PSC,0,1
4795,219,Angela Portela,PT,1,1
4795,327,Vital do Rêgo,PMDB,1,1
4795,217,Rodrigo Rollemberg,PSB,1,1
4795,333,Lídice da Mata,PSB,1,1
4795,352,Sérgio Petecão,PMN,0,1
4795,165,Jarbas Vasconcelos,PMDB,1,-1
4795,163,João Vicente Claudino,PTB,1,0
4795,162,Mário Couto,PSDB,0,-1
4795,161,João Durval,PDT,0,1
4795,159,Jayme Campos,DEM,0,-1
4795,158,Cícero Lucena,PSDB,0,-1
4795,157,Fernando Collor,PTB,1,1
4795,155,Flexa Ribeiro,PSDB,0,-1
4795,151,Mozarildo Cavalcanti,PTB,1,1
4795,147,Cristovam Buarque,PDT,0,1
4795,208,Benedito de Lira,PP,1,1
4795,351,Wilson Santiago,PMDB,1,0
4795,144,João Pedro,PT,1,1
4795,206,Vicentinho Alves,PR,0,1
4795,135,Delcídio do Amaral,PT,1,1
4795,133,Marcelo Crivella,PRB,0,1
4795,130,Valdir Raupp,PMDB,1,1
4795,129,Demóstenes Torres,DEM,0,0
4795,203,Aloysio Nunes Ferreira,PSDB,0,-1
4795,126,João Ribeiro,PR,0,0
4795,201,Paulo Bauer,PSDB,0,0
4795,200,Lindbergh Farias,PT,1,1
4795,121,Gim,PTB,1,0
4795,120,Kátia Abreu,DEM,0,-1
4795,198,Waldemir Moka,PMDB,1,1
4795,117,Magno Malta,PR,0,1
4795,116,Antonio Carlos Valadares,PSB,1,1
4795,115,Francisco Dornelles,PP,1,1
4795,113,Maria do Carmo Alves,DEM,0,1
4795,112,Alvaro Dias,PSDB,0,-1
4795,283,João Alberto Souza,PMDB,1,0
4795,321,Ricardo Ferraço,PMDB,1,1
4795,196,Walter Pinheiro,PT,1,1
4795,109,Gilvam Borges,PMDB,1,0
4795,320,Roberto Requião,PMDB,1,0
4795,194,Casildo Maldaner,PMDB,1,1
4795,193,Ciro Nogueira,PP,1,1
4795,108,Lúcia Vânia,PSDB,0,-1
4795,319,José Pimentel,PT,1,1
4795,107,Inácio Arruda,PCdoB,1,0
4795,189,Vanessa Grazziotin,PCdoB,1,1
4795,106,Marisa Serrano,PSDB,0,-1
4795,318,Aécio Neves,PSDB,0,-1
4795,187,Armando Monteiro,PTB,1,1
4795,317,Eunício Oliveira,PMDB,1,1
4795,350,Itamar Franco,PPS,0,-1
4795,101,Eduardo Suplicy,PT,1,0
4795,100,Romero Jucá,PMDB,1,1
4795,184,Blairo Maggi,PR,0,0
4795,99,Paulo Paim,PT,1,1
4795,98,Pedro Simon,PMDB,1,1
4795,94,Renan Calheiros,PMDB,1,1
4795,91,José Agripino,DEM,0,-1
4795,89,Epitácio Cafeteira,PTB,1,0
4795,88,José Sarney,PMDB,1,0
4806,331,Ana Amélia,PP,1,1
4806,241,Wellington Dias,PT,1,-1
4806,179,Acir Gurgacz,PDT,0,-1
4806,238,Paulo Davim,PV,0,-1
4806,237,Eduardo Braga,PMDB,1,-1
4806,236,Jorge Viana,PT,1,-1
4806,235,Randolfe Rodrigues,PSOL,0,1
4806,234,Pedro Taques,PDT,0,-1
4806,233,Humberto Costa,PT,1,-1
4806,329,Gleisi Hoffmann,PT,1,-1
4806,232,Ivo Cassol,PP,1,-1
4806,231,Luiz Henrique,PMDB,1,0
4806,230,Marta Suplicy,PT,1,-1
4806,354,Marinor Brito,PSOL,0,1
4806,353,Clésio Andrade,PR,0,-1
4806,226,Garibaldi Alves,PMDB,1,-1
4806,167,Lobão Filho,PMDB,1,-1
4806,223,Cyro Miranda,PSDB,0,0
4806,222,Ana Rita,PT,1,-1
4806,221,Anibal Diniz,PT,1,-1
4806,220,Eduardo Amorim,PSC,0,-1
4806,219,Angela Portela,PT,1,-1
4806,327,Vital do Rêgo,PMDB,1,-1
4806,217,Rodrigo Rollemberg,PSB,1,-1
4806,333,Lídice da Mata,PSB,1,-1
4806,352,Sérgio Petecão,PMN,0,-1
4806,165,Jarbas Vasconcelos,PMDB,1,1
4806,163,João Vicente Claudino,PTB,1,-1
4806,162,Mário Couto,PSDB,0,1
4806,161,João Durval,PDT,0,-1
4806,159,Jayme Campos,DEM,0,1
4806,158,Cícero Lucena,PSDB,0,1
4806,157,Fernando Collor,PTB,1,-1
4806,155,Flexa Ribeiro,PSDB,0,1
4806,151,Mozarildo Cavalcanti,PTB,1,-1
4806,147,Cristovam Buarque,PDT,0,0
4806,208,Benedito de Lira,PP,1,-1
4806,351,Wilson Santiago,PMDB,1,-1
4806,144,João Pedro,PT,1,-1
4806,206,Vicentinho Alves,PR,0,-1
4806,135,Delcídio do Amaral,PT,1,-1
4806,133,Marcelo Crivella,PRB,0,-1
4806,130,Valdir Raupp,PMDB,1,-1
4806,129,Demóstenes Torres,DEM,0,1
4806,203,Aloysio Nunes Ferreira,PSDB,0,1
4806,126,João Ribeiro,PR,0,-1
4806,201,Paulo Bauer,PSDB,0,1
4806,200,Lindbergh Farias,PT,1,-1
4806,121,Gim,PTB,1,-1
4806,120,Kátia Abreu,DEM,0,0
4806,198,Waldemir Moka,PMDB,1,-1
4806,117,Magno Malta,PR,0,-1
4806,116,Antonio Carlos Valadares,PSB,1,-1
4806,115,Francisco Dornelles,PP,1,-1
